seed,group,model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean
41,RandomOverSampler,LR,0.651984126984127,0.42348678601875533,0.5052631578947369,0.4591362126245847
41,RandomOverSampler,SVM,0.6863095238095238,0.46825247261375946,0.5052631578947369,0.48479532163742683
41,RandomOverSampler,KNN,0.6580853174603175,0.43082309847015726,0.34736842105263155,0.38087813620071687
41,RandomOverSampler,RF,0.6613095238095238,0.4321768101179866,0.3684210526315789,0.3931359931359932
41,RandomOverSampler,GB,0.6709325396825397,0.4514169054349429,0.4631578947368421,0.4560023933708144
41,RandomOverSampler,MLP,0.6551091269841269,0.4237351846639772,0.4,0.40983040731587134
41,class_weight,LR,0.6456845238095238,0.42799615199615204,0.5368421052631579,0.4752492046659597
41,class_weight,SVM,0.6675099206349207,0.45485155195681515,0.5368421052631579,0.49069830210589077
41,class_weight,RF,0.6644345238095238,0.42280268750856986,0.25263157894736843,0.312179802955665
42,RandomOverSampler,LR,0.5614583333333333,0.3305548654244307,0.4736842105263158,0.38731760478420546
42,RandomOverSampler,SVM,0.5768353174603175,0.3554867529380273,0.5157894736842105,0.417256223804474
42,RandomOverSampler,KNN,0.6236607142857142,0.34553295002211415,0.3052631578947368,0.3234389002810056
42,RandomOverSampler,RF,0.6145833333333333,0.3553292321713374,0.3368421052631579,0.33968839417557933
42,RandomOverSampler,GB,0.5393849206349206,0.2928956228956229,0.3789473684210526,0.32766402914865267
42,RandomOverSampler,MLP,0.6333333333333333,0.38967391304347826,0.4,0.3872145417306707
42,class_weight,LR,0.5896329365079366,0.3640678531701891,0.5157894736842105,0.42584214235377027
42,class_weight,SVM,0.5767361111111111,0.36484188781185445,0.5684210526315789,0.4442624113475177
42,class_weight,RF,0.6333829365079365,0.3217094017094017,0.16842105263157894,0.21488321134905575
46,RandomOverSampler,LR,0.5485615079365079,0.3280081925243215,0.46315789473684205,0.38189167248768147
46,RandomOverSampler,SVM,0.5921626984126984,0.3658317544524442,0.43157894736842106,0.38841640628874674
46,RandomOverSampler,KNN,0.5923611111111111,0.30507142857142855,0.28421052631578947,0.29024309024309025
46,RandomOverSampler,RF,0.5829861111111111,0.2708695652173913,0.24210526315789474,0.2464778766530713
46,RandomOverSampler,GB,0.5514880952380953,0.28747832280440977,0.3368421052631579,0.3075139353400223
46,RandomOverSampler,MLP,0.5609126984126984,0.2674074074074074,0.28421052631578947,0.270118651451241
46,class_weight,LR,0.557936507936508,0.3386967530059855,0.47368421052631576,0.3926932591218305
46,class_weight,SVM,0.5578373015873016,0.3520168067226891,0.5157894736842106,0.41114130294608586
46,class_weight,RF,0.648859126984127,0.36791979949874687,0.22105263157894733,0.26590971400479035
