feature,mean_abs_shap
cat__coat_leves_moderadas,0.013162818270537655
cat__alopecia_presente,0.01149862175679407
cat__nails_normal,0.011302148720764443
cat__muzzle_ear_lesion_presente,0.010985332975269104
cat__muzzle_ear_lesion_ausente,0.010818401260954116
cat__nails_leves_moderadas,0.010526341239902363
cat__mucosa_color_levemente_hipercorada,0.010438737015104341
cat__nutritional_state_leve_moderado,0.010265552754655865
cat__alopecia_ausente,0.010221978001834971
cat__nutritional_state_adequado,0.010152921496787192
cat__animal_sex_F,0.009802449272515818
cat__animal_sex_M,0.009707797436295414
cat__skin_lesion_Ausente,0.009675252961299235
cat__coat_normal,0.009556539726733076
cat__skin_lesion_Leve/Moderada,0.009089219572675807
cat__ectoparasites_ausente,0.009055939415377664
cat__mucosa_color_normal,0.009052134209704946
cat__ectoparasites_leve,0.008830326684174354
cat__muzzle_lip_depigmentation_ausente,0.00864862899867236
cat__muzzle_lip_depigmentation_presente,0.007831333691076503
cat__conjunctivitis_Ausente,0.007711129216787232
cat__breed_name_SRD,0.007309272400323917
cat__lymph_nodes_normal,0.007292629198077128
cat__conjunctivitis_Conjuntivite Leve,0.0071538444470454765
cat__lymph_nodes_leves_moderadas,0.006299501913411231
cat__ectoparasites_grave,0.005878797748576374
cat__blepharitis_ausente,0.004397876396491888
cat__breed_name_other,0.004251323334037847
cat__blepharitis_presente,0.004070958429464284
cat__coat_graves,0.0037738794532684097
cat__general_state_regular,0.0035000743229943814
cat__skin_lesion_Grave/Generalizada,0.0034176284523409635
cat__general_state_bom,0.003177727237327563
cat__nutritional_state_grave,0.0027370360769472676
cat__bleeding_ausente,0.002499204648243972
cat__conjunctivitis_Ceratoconjuntivite Grave,0.002227320862230023
cat__bleeding_presente,0.002131696255560442
cat__mucosa_color_congesta,0.0017322620583921772
cat__breed_name_Poodle,0.0017011215274182344
cat__breed_name_Pinscher,0.001305816220504404
