seed,generator,scenario,model,test_accuracy,test_precision,test_recall,test_f1
41,CTGAN,10x,LR,0.4233576642335766,0.27906976744186046,0.5853658536585366,0.3779527559055118
41,CTGAN,10x,SVM,0.3722627737226277,0.2413793103448276,0.5121951219512195,0.328125
41,CTGAN,10x,KNN,0.44525547445255476,0.23880597014925373,0.3902439024390244,0.2962962962962963
41,CTGAN,10x,RF,0.4233576642335766,0.2361111111111111,0.4146341463414634,0.3008849557522124
41,CTGAN,10x,GB,0.45985401459854014,0.3058823529411765,0.6341463414634146,0.4126984126984127
41,CTGAN,10x,MLP,0.5182481751824818,0.2807017543859649,0.3902439024390244,0.32653061224489793
41,CTGAN,30x,LR,0.6277372262773723,0.35294117647058826,0.2926829268292683,0.32
41,CTGAN,30x,SVM,0.5328467153284672,0.3333333333333333,0.5609756097560976,0.41818181818181815
41,CTGAN,30x,KNN,0.5109489051094891,0.30303030303030304,0.4878048780487805,0.37383177570093457
41,CTGAN,30x,RF,0.5328467153284672,0.3230769230769231,0.5121951219512195,0.39622641509433965
41,CTGAN,30x,GB,0.5766423357664233,0.3023255813953488,0.3170731707317073,0.30952380952380953
41,CTGAN,30x,MLP,0.5255474452554745,0.2692307692307692,0.34146341463414637,0.3010752688172043
41,TVAE,10x,LR,0.5693430656934306,0.3125,0.36585365853658536,0.33707865168539325
41,TVAE,10x,SVM,0.5693430656934306,0.29545454545454547,0.3170731707317073,0.3058823529411765
41,TVAE,10x,KNN,0.5766423357664233,0.3023255813953488,0.3170731707317073,0.30952380952380953
41,TVAE,10x,RF,0.5620437956204379,0.28888888888888886,0.3170731707317073,0.3023255813953488
41,TVAE,10x,GB,0.5766423357664233,0.3191489361702128,0.36585365853658536,0.3409090909090909
41,TVAE,10x,MLP,0.5985401459854015,0.3333333333333333,0.34146341463414637,0.3373493975903614
41,TVAE,30x,LR,0.5474452554744526,0.2765957446808511,0.3170731707317073,0.29545454545454547
41,TVAE,30x,SVM,0.583941605839416,0.2894736842105263,0.2682926829268293,0.27848101265822783
41,TVAE,30x,KNN,0.5693430656934306,0.29545454545454547,0.3170731707317073,0.3058823529411765
41,TVAE,30x,RF,0.5766423357664233,0.28205128205128205,0.2682926829268293,0.275
41,TVAE,30x,GB,0.5766423357664233,0.28205128205128205,0.2682926829268293,0.275
41,TVAE,30x,MLP,0.583941605839416,0.3,0.2926829268292683,0.2962962962962963
42,CTGAN,10x,LR,0.49635036496350365,0.25862068965517243,0.36585365853658536,0.30303030303030304
42,CTGAN,10x,SVM,0.5182481751824818,0.2549019607843137,0.3170731707317073,0.2826086956521739
42,CTGAN,10x,KNN,0.44525547445255476,0.26666666666666666,0.4878048780487805,0.3448275862068966
42,CTGAN,10x,RF,0.4744525547445255,0.26865671641791045,0.43902439024390244,0.3333333333333333
42,CTGAN,10x,GB,0.5255474452554745,0.25,0.2926829268292683,0.2696629213483146
42,CTGAN,10x,MLP,0.4744525547445255,0.25396825396825395,0.3902439024390244,0.3076923076923077
42,CTGAN,30x,LR,0.48905109489051096,0.2698412698412698,0.4146341463414634,0.3269230769230769
42,CTGAN,30x,SVM,0.48905109489051096,0.24561403508771928,0.34146341463414637,0.2857142857142857
42,CTGAN,30x,KNN,0.5036496350364964,0.30434782608695654,0.5121951219512195,0.38181818181818183
42,CTGAN,30x,RF,0.5036496350364964,0.2631578947368421,0.36585365853658536,0.30612244897959184
42,CTGAN,30x,GB,0.5328467153284672,0.3050847457627119,0.43902439024390244,0.36
42,CTGAN,30x,MLP,0.5328467153284672,0.2982456140350877,0.4146341463414634,0.3469387755102041
42,TVAE,10x,LR,0.6642335766423357,0.42857142857142855,0.36585365853658536,0.39473684210526316
42,TVAE,10x,SVM,0.708029197080292,0.5172413793103449,0.36585365853658536,0.42857142857142855
42,TVAE,10x,KNN,0.6861313868613139,0.475,0.4634146341463415,0.4691358024691358
42,TVAE,10x,RF,0.6715328467153284,0.4411764705882353,0.36585365853658536,0.4
42,TVAE,10x,GB,0.6861313868613139,0.46875,0.36585365853658536,0.410958904109589
42,TVAE,10x,MLP,0.6788321167883211,0.45161290322580644,0.34146341463414637,0.3888888888888889
42,TVAE,30x,LR,0.6496350364963503,0.41025641025641024,0.3902439024390244,0.4
42,TVAE,30x,SVM,0.6715328467153284,0.4473684210526316,0.4146341463414634,0.43037974683544306
42,TVAE,30x,KNN,0.6788321167883211,0.46511627906976744,0.4878048780487805,0.47619047619047616
42,TVAE,30x,RF,0.6788321167883211,0.45714285714285713,0.3902439024390244,0.42105263157894735
42,TVAE,30x,GB,0.6642335766423357,0.43243243243243246,0.3902439024390244,0.41025641025641024
42,TVAE,30x,MLP,0.6496350364963503,0.40540540540540543,0.36585365853658536,0.38461538461538464
46,CTGAN,10x,LR,0.635036496350365,0.40816326530612246,0.4878048780487805,0.4444444444444444
46,CTGAN,10x,SVM,0.5693430656934306,0.3333333333333333,0.43902439024390244,0.37894736842105264
46,CTGAN,10x,KNN,0.5182481751824818,0.29508196721311475,0.43902439024390244,0.35294117647058826
46,CTGAN,10x,RF,0.5474452554744526,0.3220338983050847,0.4634146341463415,0.38
46,CTGAN,10x,GB,0.6423357664233577,0.39473684210526316,0.36585365853658536,0.379746835443038
