generator,scenario,model,test_accuracy,test_precision,test_recall,test_f1
CTGAN,10x,LR,0.5182481751824818,0.3152845741343851,0.4796747967479675,0.37514250112675307
CTGAN,10x,KNN,0.46958637469586373,0.2668515346763451,0.43902439024390244,0.3313550196579271
CTGAN,10x,RF,0.48175182481751827,0.27560057527803544,0.43902439024390244,0.33807276302851524
CTGAN,10x,GB,0.5425790754257908,0.3168730650154799,0.43089430894308944,0.35403605649658837
CTGAN,10x,SVM,0.48661800486618007,0.27653820148749153,0.42276422764227645,0.3298936880244088
CTGAN,10x,MLP,0.49391727493917276,0.26296909882993735,0.3821138211382114,0.31140763997906856
CTGAN,30x,KNN,0.5304136253041363,0.32267795560739254,0.5121951219512195,0.39567416884624146
CTGAN,30x,SVM,0.5304136253041363,0.31277412280701755,0.48780487804878053,0.38066378066378065
CTGAN,30x,RF,0.5158150851581509,0.3018930874194032,0.4796747967479675,0.36980950336387686
CTGAN,30x,MLP,0.5401459854014599,0.3112245221214828,0.46341463414634143,0.37076658620437425
CTGAN,30x,LR,0.5717761557177615,0.33537192654839715,0.42276422764227645,0.36745620715917743
CTGAN,30x,GB,0.5620437956204379,0.31942917338017224,0.4146341463414634,0.3592290249433107
TVAE,10x,KNN,0.6277372262773723,0.38105974664397807,0.3821138211382114,0.38150442350984354
TVAE,10x,GB,0.6447688564476886,0.41078112687155244,0.3739837398373984,0.38915080353436515
TVAE,10x,RF,0.6350364963503649,0.39041394335511975,0.34959349593495936,0.36744186046511623
TVAE,10x,SVM,0.6520681265206812,0.42241379310344823,0.34959349593495936,0.37995306230600345
TVAE,10x,LR,0.6228710462287105,0.3653033794162826,0.3333333333333333,0.3457903497820707
TVAE,10x,MLP,0.6472019464720195,0.39957978000247185,0.3252032520325203,0.3563651431121311
TVAE,30x,KNN,0.6301703163017032,0.3868569415081043,0.3983739837398374,0.3923781858422381
TVAE,30x,RF,0.6496350364963503,0.4085602085602085,0.3658536585365854,0.385863697705803
TVAE,30x,LR,0.6204379562043796,0.3687356645489796,0.34146341463414637,0.35218855218855216
TVAE,30x,SVM,0.6520681265206812,0.41228070175438597,0.34146341463414637,0.3715526203143154
TVAE,30x,GB,0.6350364963503649,0.37957537957537957,0.3333333333333333,0.3545449295449295
TVAE,30x,MLP,0.6301703163017032,0.36334026334026337,0.30081300813008127,0.32647304786608267
